State,CD,Name,Incumbent,Party,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,GOP,PVI,,,,,,,
CA,02,CA02,"Huffman, Jared",(D),69,23.3,69,27,71,25,73%,27%,19.92,,,,,,,
CA,03,CA03,"Garamendi, John",(D),53,40.4,54.3,43.1,55,42,56%,44%,3.22,,,,,,,
CA,04,CA04,"McClintock, Tom",(R),39.3,54,39.5,57.9,43,54,42%,58%,10.56,,,,,,,
CA,05,CA05,"Thompson, Mike",(D),69.2,24.3,69.7,27.5,70,26,72%,28%,19.31,,,,,,,
CA,06,CA06,"Matsui, Doris",(D),69.2,24.4,69.1,28.3,68,29,71%,29%,17.52,,,,,,,
CA,07,CA07,"Bera, Ami",(D),52.3,40.9,50.8,46.8,51,46,52%,48%,0.69,,,,,,,
CA,08,CA08,"Cook, Paul",(R),39.6,54.7,41.7,55.6,42,55,43%,57%,9.92,,,,,,,
CA,09,CA09,"McNerney, Jerry",(D),56.6,38,57.8,40.1,56,41,58%,42%,5.39,,,,,,,
CA,10,CA10,"Denham, Jeff",(R),48.5,45.5,50.6,47,50,47,52%,48%,1.3,,,,,,,
CA,11,CA11,"DeSaulnier, Mark",(D),71.5,22.7,67.6,30,69,28,70%,30%,17.2,,,,,,,
CA,12,CA12,"Pelosi, Nancy",(D),86.2,8.7,84.1,12.5,84,13,87%,13%,33.83,,,,,,,
CA,13,CA13,"Lee, Barbara",(D),87.4,6.8,87.5,9,87,10,90%,10%,37.18,,,,,,,
CA,14,CA14,"Speier, Jackie",(D),76.9,18.2,74.2,23.6,73,24,76%,24%,22.56,,,,,,,
CA,15,CA15,"Swalwell, Eric",(D),69.9,24.2,68,29.8,67,30,69%,31%,16.3,,,,,,,
CA,16,CA16,"Costa, Jim",(D),58,36.4,58.6,39.4,57,40,59%,41%,6.28,,,,,,,
CA,17,CA17,"Khanna, Ro",(D),73.9,20.5,71.9,25.5,69,28,72%,28%,19.48,,,,,,,
CA,18,CA18,"Eshoo, Anna",(D),73.4,20.2,68.2,28.9,70,27,71%,29%,18.2,,,,,,,
CA,19,CA19,"Lofgren, Zoe",(D),72.9,21.5,71.2,26.5,68,29,71%,29%,18.49,,,,,,,
CA,20,CA20,"Panetta, Jimmy",(D),70.4,23.2,70.9,26.2,71,26,73%,27%,20.11,,,,,,,
CA,21,CA21,"Valadao, David",(R),55.2,39.7,54.6,43.5,52,46,54%,46%,1.36,,,,,,,
CA,22,CA22,"Nunes, Devin",(R),42.6,52.1,41.6,56.6,42,55,43%,57%,10.17,,,,,,,
CA,23,CA23,"McCarthy, Kevin",(R),36.1,58.1,36.1,61.5,36,61,37%,63%,15.95,,,,,,,
CA,24,CA24,"Carbajal, Salud",(D),56.7,36.5,54.1,43.1,56,41,57%,43%,3.69,,,,,,,
CA,25,CA25,"Knight, Steve",(R),50.3,43.6,47.8,49.7,49,48,50%,50%,3.23,,,,,,,
CA,26,CA26,"Brownley, Julia",(D),57.9,36,54,43.7,56,41,56%,44%,3.5,,,,,,,
CA,27,CA27,"Chu, Judy",(D),66,28.4,62.6,35,61,35,64%,36%,10.84,,,,,,,
CA,28,CA28,"Schiff, Adam",(D),72.1,22.3,70.3,26.5,70,26,73%,27%,19.77,,,,,,,
CA,29,CA29,"Cardenas, Tony",(D),77.7,16.8,77,20.5,74,23,78%,22%,24.63,,,,,,,
CA,30,CA30,"Sherman, Brad",(D),69.1,25.7,65.3,32.1,66,31,68%,32%,14.54,,,,,,,
CA,31,CA31,"Aguilar, Pete",(D),57.7,36.6,57.2,40.6,56,41,58%,42%,5.11,,,,,,,
CA,32,CA32,"Napolitano, Grace",(D),66.6,27.7,65.2,32.5,62,35,65%,35%,12.33,,,,,,,
CA,33,CA33,"Lieu, Ted",(D),67.8,26.5,60.6,36.8,64,33,64%,36%,11.09,,,,,,,
CA,34,CA34,"Gomez, Jimmy",(D),83.6,10.7,83,14.1,77,19,83%,17%,29.86,,,,,,,
CA,35,CA35,"Torres, Norma",(D),67.7,26.9,67.4,30.6,64,32,68%,32%,14.73,,,,,,,
CA,36,CA36,"Ruiz, Raul",(D),52.2,43.4,50.7,47.5,50,47,52%,48%,1.41,,,,,,,
CA,37,CA37,"Bass, Karen",(D),85.7,9.6,84.9,12.7,84,13,87%,13%,33.79,,,,,,,
CA,38,CA38,"Sanchez, Linda",(D),67,27.4,64.9,33,61,35,65%,35%,11.93,,,,,,,
CA,39,CA39,"Royce, Ed",(R),51.5,42.9,47.1,50.8,47,49,49%,51%,4.47,,,,,,,
CA,40,CA40,"Roybal-Allard, Lucille",(D),82.2,12.8,81.5,16.5,77,19,82%,18%,28.7,,,,,,,
CA,41,CA41,"Takano, Mark",(D),61,33.1,61.5,36.3,59,38,62%,38%,8.86,,,,,,,
CA,42,CA42,"Calvert, Ken",(R),41.4,53.4,41.4,56.5,43,54,43%,57%,9.7,,,,,,,
CA,43,CA43,"Waters, Maxine",(D),78.4,16.7,78,20,75,22,78%,22%,25.46,,,,,,,
CA,44,CA44,"Barragan, Nanette",(D),83,12.3,84.7,13.6,81,16,85%,15%,31.84,,,,,,,
CA,45,CA45,"Walters, Mimi",(R),49.8,44.4,43,54.8,46,51,46%,54%,7.31,,,,,,,
CA,46,CA46,"Correa, Lou",(D),66.3,27.9,61.4,36.2,58,39,61%,39%,8.36,,,,,,,
CA,47,CA47,"Lowenthal, Alan",(D),62.6,31,60,37.5,58,39,61%,39%,7.67,,,,,,,
CA,48,CA48,"Rohrabacher, Dana",(R),47.9,46.2,43,54.7,46,51,46%,54%,7.29,,,,,,,
CA,49,CA49,"Issa, Darrell",(R),50.7,43.2,45.7,52.4,49,48,49%,51%,4.46,,,,,,,
CA,50,CA50,"Hunter, Duncan",(R),39.6,54.6,37.6,60.4,39,58,39%,61%,13.72,,,,,,,
CA,51,CA51,"Vargas, Juan",(D),71.8,22.8,69.4,28.9,65,32,69%,31%,15.82,,,,,,,
CA,52,CA52,"Peters, Scott",(D),58.1,35.6,52.1,45.7,55,43,55%,45%,1.7,,,,,,,
CA,53,CA53,"Davis, Susan",(D),64.5,29.6,61.4,36.4,61,36,63%,37%,9.83,,,,,,,
CO,01,CO01,"DeGette, Diana",(D),69,23.2,69,28.8,70.9,27.6,71%,29%,18.27,,,,,,,
CO,02,CO02,"Polis, Jared",(D),56.2,34.9,57.9,39.5,61.2,37.2,61%,39%,7.83,,,,,,,
CO,03,CO03,"Tipton, Scott",(R),40,52,45.8,51.8,48.4,49.9,48%,52%,4.91,,,,,,,
CO,04,CO04,"Buck, Ken",(R),34.3,57.4,39.2,58.5,41.9,56.4,41%,59%,11.62,,,,,,,
CO,05,CO05,"Lamborn, Doug",(R),33.2,57.2,38.3,59.1,39.7,58.8,40%,60%,13.18,,,,,,,
CO,06,CO06,"Coffman, Mike",(R),50.2,41.3,51.6,46.5,53.6,44.9,54%,46%,0.51,,,,,,,
CO,07,CO07,"Perlmutter, Ed",(D),51.4,39.4,56.1,41.3,57.4,40.7,58%,42%,5.06,,,,,,,
CT,01,CT01,"Larson, John",(D),59.4,36.3,63.3,35.6,65.8,32.9,65%,35%,12.33,,,,,,,
CT,02,CT02,"Courtney, Joe",(D),48.7,45.8,55.9,42.6,58.6,40,58%,42%,5.09,,,,,,,
CT,03,CT03,"DeLauro, Rosa",(D),55.9,40.4,62.6,36.3,62.6,36.2,63%,37%,10.33,,,,,,,
CT,04,CT04,"Himes, Jim",(D),59.6,36.6,55.1,44,59.6,39.7,58%,42%,4.81,,,,,,,
CT,05,CT05,"Esty, Elizabeth",(D),49.9,45.8,53.5,45.3,56.4,42.4,56%,44%,2.62,,,,,,,
DE,1,DE01,"Blunt Rochester, Lisa",(D),53.4,41.9,58.6,40,61.9,36.9,61%,39%,8.04,,,,,,,
FL,01,FL01,"Gaetz, Matt",(R),28.2,67.5,30.1,68.5,32,66.8,31%,69%,21.54,,,,,,,
FL,02,FL02,"Dunn, Neal",(R),30.6,66.2,34,64.6,35.2,63.4,35%,65%,17.91,,,,,,,
FL,03,FL03,"Yoho, Ted",(R),40.2,56.2,41.9,56.6,44.2,54.6,44%,56%,9.36,,,,,,,
FL,04,FL04,"Rutherford, John",(R),34.1,62.1,32.8,66.1,34.8,64.2,34%,66%,18.84,,,,,,,
FL,05,FL05,"Lawson, Al",(D),61.3,35.9,63.6,35.4,63.2,35.9,64%,36%,11.01,,,,,,,
FL,06,FL06,"DeSantis, Ron",(R),39.9,56.9,46.6,52.2,50.1,48.7,49%,51%,4.06,,,,,,,
FL,07,FL07,"Murphy, Stephanie",(D),51.4,44.1,49.4,49.4,51.1,48,51%,49%,2.22,,,,,,,
FL,08,FL08,"Posey, Bill",(R),37.7,58.4,42.1,56.6,43.8,54.9,44%,56%,9.48,,,,,,,
FL,09,FL09,"Soto, Darren",(D),54.8,41.9,55.6,43.4,54.6,44.5,56%,44%,2.63,,,,,,,
