St,CD,CD_Name,Obama12,Romney12,Obama08,McCain08,Kerry04,Bush04,Dem,GOP,PVI,,,,,,,
NY,24,NY24,57,41.1,56.2,42,52,48,55%,45%,3.38,,,,,,,
NY,25,NY25,58.8,39.4,58.8,39.9,52,48,56%,44%,4.55,,,,,,,
NY,26,NY26,63.7,34.6,63.5,35,63,37,64%,36%,12.51,,,,,,,
NY,27,NY27,43.3,54.9,44.5,53.9,43,57,44%,56%,7.11,,,,,,,
OH,1,OH01,46.3,52.4,46.5,52.4,43,57,45%,55%,6.22,,,,,,,
OH,2,OH02,43.6,54.7,44.8,53.8,40,60,43%,57%,8.52,,,,,,,
OH,3,OH03,69.7,28.9,63,35,62,38,63%,37%,11.92,,,,,,,
OH,4,OH04,42,56,44,54.6,40,60,42%,58%,8.92,,,,,,,
OH,5,OH05,44.1,53.9,46.3,51.9,40,60,44%,56%,7.67,,,,,,,
OH,6,OH06,42.7,55.2,44.7,53,46,54,46%,54%,5.34,,,,,,,
OH,7,OH07,44.2,53.7,46.7,51.1,45,55,46%,54%,4.85,,,,,,,
OH,8,OH08,36.5,61.9,39,60,36,64,38%,62%,13.53,,,,,,,
OH,9,OH09,67.6,30.9,65,33,64,36,65%,35%,13.94,,,,,,,
OH,10,OH10,48.2,50.1,49.3,49.2,48,52,49%,51%,2.2,,,,,,,
OH,11,OH11,82.8,16.5,84,15,79,21,82%,18%,30.69,,,,,,,
OH,12,OH12,43.9,54.4,45,53.4,40,60,43%,57%,8.37,,,,,,,
OH,13,OH13,63,35.4,62,36,63,37,63%,37%,11.92,,,,,,,
OH,14,OH14,47.6,50.9,49,49.5,47,53,48%,52%,2.85,,,,,,,
OH,15,OH15,46.3,51.9,45.4,52.8,43,57,45%,55%,6.61,,,,,,,
OH,16,OH16,45.2,53.4,47.3,51.2,45,55,46%,54%,4.72,,,,,,,
OK,1,OK01,34.2,65.8,35.8,64.2,35,65,35%,65%,15.81,,,,,,,
OK,2,OK02,32.2,67.8,34.3,65.7,41,59,38%,62%,13.56,,,,,,,
OK,3,OK03,26.1,73.9,27.1,72.9,28,72,28%,72%,23.66,,,,,,,
OK,4,OK04,32.9,67.1,33.9,66.1,33,67,33%,67%,17.76,,,,,,,
OK,5,OK05,40.8,59.2,40.8,59.3,36,64,38%,62%,12.83,,,,,,,
OR,1,OR01,57.3,40,59.6,37.7,54,46,58%,42%,6.36,,,,,,,
OR,2,OR02,40.5,56.8,43.3,53.8,38,62,41%,59%,9.97,,,,,,,
OR,3,OR03,72,24.7,72.9,24.3,69,31,72%,28%,20.74,,,,,,,
OR,4,OR04,51.7,45,54.2,42.7,50,50,53%,47%,1.71,,,,,,,
OR,5,OR05,50.5,47.1,53,44.2,49,51,52%,48%,0.51,,,,,,,
PA,1,PA01r,82.3,16.9,79,21,75,25,77%,23%,25.79,,,,,,,
PA,2,PA02r,90.4,9,90.6,9,88,12,89%,11%,38.26,,,,,,,
PA,3,PA03r,43.1,55.6,46.3,52.3,45,55,46%,54%,5.24,,,,,,,
PA,4,PA04r,41.5,57.1,45.2,53.7,38,62,42%,58%,9.38,,,,,,,
PA,5,PA05r,41.4,57,47.1,51,42,58,45%,55%,6.24,,,,,,,
PA,6,PA06r,48.1,50.6,53,46,47,53,50%,50%,0.96,,,,,,,
PA,7,PA07r,48.5,50.4,51.2,47.8,49,51,50%,50%,0.86,,,,,,,
PA,8,PA08r,49.4,49.4,53.2,45.7,51,49,52%,48%,1.17,,,,,,,
PA,9,PA09r,35.8,62.9,41,57.8,41,59,41%,59%,9.97,,,,,,,
PA,10,PA10r,38.5,60.1,42.3,56.4,36,64,39%,61%,11.81,,,,,,,
PA,11,PA11r,44.6,51.6,46.9,51.8,42,58,45%,55%,6.47,,,,,,,
PA,12,PA12r,41,57.8,44.7,54.1,46,54,46%,54%,5.59,,,,,,,
PA,13,PA13r,66.2,32.9,64.8,34.3,62,38,64%,36%,12.47,,,,,,,
PA,14,PA14r,68,30.6,67.2,31.8,67,33,67%,33%,16.22,,,,,,,
PA,15,PA15r,47.9,50.8,52.1,46.5,46,54,49%,51%,1.82,,,,,,,
PA,16,PA16r,46.3,52.4,50.2,49,40,60,45%,55%,5.93,,,,,,,
PA,17,PA17r,55.4,43.3,56.9,41.9,53,47,55%,45%,4.07,,,,,,,
PA,18,PA18r,41,57.9,43.8,55.2,46,54,45%,55%,6.09,,,,,,,
RI,1,RI01,66.3,32.2,67,32,64,36,66%,34%,14.61,,,,,,,
RI,2,RI02,58.8,38.3,60,38,58,42,60%,40%,8.38,,,,,,,
SC,1,SC01,40.2,58.3,42.7,56.1,38,62,41%,59%,10.62,,,,,,,
SC,2,SC02,39.4,59.1,39.5,59.4,35,65,37%,63%,13.76,,,,,,,
SC,3,SC03,33.8,64.5,35.1,63.5,34,66,35%,65%,16.42,,,,,,,
SC,4,SC04,36.2,62.2,37.7,60.6,34,66,36%,64%,15.06,,,,,,,
SC,5,SC05,43.6,55.1,43.9,54.9,40,60,42%,58%,9.01,,,,,,,
SC,6,SC06,70.9,28.1,70.1,28,66,34,69%,31%,17.49,,,,,,,
SC,7,SC07,44.4,54.5,45.3,53.6,44,56,45%,55%,6.32,,,,,,,
SD,1,SD01,39.9,57.9,44.8,53.2,39,61,42%,58%,8.89,,,,,,,
TN,1,TN01,25.7,72.6,28.6,69.9,31,69,30%,70%,21.19,,,,,,,
TN,2,TN02,30.7,67.4,34.5,63.9,36,64,36%,64%,15.68,,,,,,,
TN,3,TN03,35.6,62.7,37.3,61.3,40,60,39%,61%,12.29,,,,,,,
TN,4,TN04,32.8,66.5,36.1,62.4,39,61,38%,62%,13.38,,,,,,,
TN,5,TN05,55.7,43,57.6,41.2,54,46,56%,44%,4.92,,,,,,,
TN,6,TN06,29.6,69.1,33.5,65,39,61,37%,63%,14.69,,,,,,,
TN,7,TN07,32.7,65.9,36.1,62.6,39,61,38%,62%,13.42,,,,,,,
TN,8,TN08,32.8,66.1,34.6,64.4,37,63,36%,64%,15.23,,,,,,,
TN,9,TN09,78.3,20.9,77.5,22,70,30,74%,26%,22.72,,,,,,,
TX,1,TX01,27.5,71.5,30.4,68.9,30,70,30%,70%,20.91,,,,,,,
TX,2,TX02,35.6,62.9,37.4,61.8,32,68,35%,65%,16.38,,,,,,,
TX,3,TX03,34.2,64.2,37.4,61.5,29,71,33%,67%,17.83,,,,,,,
TX,4,TX04,24.8,74,29.3,69.7,31,69,30%,70%,20.91,,,,,,,
TX,5,TX05,34.4,64.5,37.3,61.8,34,66,36%,64%,15.4,,,,,,,
TX,6,TX06,40.8,57.9,42.2,57,34,66,38%,62%,12.96,,,,,,,
TX,7,TX07,38.6,59.9,40.4,58.7,34,66,37%,63%,13.85,,,,,,,
TX,8,TX08,21.7,77,26.1,73,25,75,26%,74%,25.55,,,,,,,
TX,9,TX09,78,21.1,76.1,23.4,69,31,73%,27%,21.52,,,,,,,
TX,10,TX10,38.8,59.1,42.6,56.2,38,62,41%,59%,10.67,,,,,,,
TX,11,TX11,19.6,79.1,23.1,75.9,22,78,23%,77%,28.55,,,,,,,
TX,12,TX12,31.7,66.8,35.4,63.6,32,68,34%,66%,17.35,,,,,,,
TX,13,TX13,18.5,80.2,22.2,76.9,22,78,22%,78%,29.01,,,,,,,
TX,14,TX14,39.5,59.3,42.1,57,43,57,43%,57%,8.47,,,,,,,
TX,15,TX15,57.3,41.5,57.3,41.8,46,54,52%,48%,0.67,,,,,,,
TX,16,TX16,64.1,34.5,64.4,34.6,55,45,60%,40%,8.79,,,,,,,
TX,17,TX17,37.8,60.3,40.9,58,37,63,39%,61%,12.05,,,,,,,
TX,18,TX18,76.1,22.8,76.6,22.9,70,30,73%,27%,22.27,,,,,,,
TX,19,TX19,25,73.6,27.9,71.2,23,77,26%,74%,25.65,,,,,,,
TX,20,TX20,58.9,39.7,58.2,40.6,50,50,54%,46%,3.21,,,,,,,
TX,21,TX21,37.9,59.8,42.2,56.4,37,63,40%,60%,11.34,,,,,,,
TX,22,TX22,36.7,62.1,38.8,60.5,33,67,36%,64%,15.19,,,,,,,
TX,23,TX23,48,50.7,49.9,49.3,42,58,46%,54%,5.08,,,,,,,
TX,24,TX24,38,60.4,40.5,58.4,33,67,37%,63%,14.26,,,,,,,
TX,25,TX25,37.8,60,42.7,56.1,38,62,41%,59%,10.62,,,,,,,
TX,26,TX26,30.7,67.6,34.9,64.2,28,72,32%,68%,19.62,,,,,,,
TX,27,TX27,38.2,60.5,40.1,59,37,63,39%,61%,12.49,,,,,,,
TX,28,TX28,60.2,38.6,58.3,41,47,53,53%,47%,1.62,,,,,,,
TX,29,TX29,65.9,33,62.2,37,56,44,59%,41%,8.12,,,,,,,
TX,30,TX30,79.6,19.6,78.3,21.1,70,30,74%,26%,23.16,,,,,,,
TX,31,TX31,38.3,59.6,42.5,55.8,34,66,39%,61%,12.64,,,,,,,
TX,32,TX32,41.5,57,43.8,55.1,38,62,41%,59%,10.09,,,,,,,
TX,33,TX33,71.9,27.1,68.6,30.6,62,38,66%,34%,14.35,,,,,,,
TX,34,TX34,60.7,38.3,60,39.1,49,51,55%,45%,3.53,,,,,,,
TX,35,TX35,63,34.6,63.2,35.5,57,43,60%,40%,9.28,,,,,,,
TX,36,TX36,25.7,73.1,29.5,69.5,32,68,31%,69%,20.31,,,,,,,
UT,1,UT01,20.4,77.4,29.3,67.7,22,78,26%,74%,25.17,,,,,,,
UT,2,UT02,29.2,68,38.5,58.5,31,69,35%,65%,15.94,,,,,,,
UT,3,UT03,19.5,78.3,29.5,67.5,22,78,26%,74%,25.07,,,,,,,
UT,4,UT04,30.2,67.2,40.9,56.1,32,68,37%,63%,14.21,,,,,,,
VA,1,VA01,45.4,53,46.9,52.3,39,61,43%,57%,8.09,,,,,,,
VA,2,VA02,49.9,48.6,50.4,48.8,42,58,46%,54%,4.83,,,,,,,
VA,3,VA03,78.4,20.4,78.5,20.9,70,30,74%,26%,23.26,,,,,,,
VA,4,VA04,48.7,50.1,48.9,50.4,41,59,45%,55%,6.11,,,,,,,
VA,5,VA05,45.8,52.5,47.9,51.1,43,57,46%,54%,5.54,,,,,,,
VA,6,VA06,39.1,58.9,42,57,36,64,39%,61%,12.02,,,,,,,
VA,7,VA07,41.6,56.8,43.6,55.6,36,64,40%,60%,11.25,,,,,,,
VA,8,VA08,67.5,31,68.5,30.7,64,36,67%,33%,15.3,,,,,,,
VA,9,VA09,34.8,63,40.2,58.4,40,60,40%,60%,10.83,,,,,,,
VA,10,VA10,48.5,50,51,48.2,43,57,47%,53%,4.03,,,,,,,
VA,11,VA11,62.3,36.2,62.3,37,54,46,58%,42%,7.14,,,,,,,
VT,1,VT01,67,31.2,67.4,30.4,60,40,64%,36%,13.19,,,,,,,
WA,1,WA01,54.1,43.3,56.3,41.9,51,49,54%,46%,2.92,,,,,,,
WA,2,WA02,59.2,38,60.5,37.6,56,44,59%,41%,7.59,,,,,,,
WA,3,WA03,47.9,49.6,50.9,47.1,47,53,49%,51%,1.77,,,,,,,
WA,4,WA04,37.9,59.7,39.2,59,35,65,37%,63%,13.78,,,,,,,
WA,5,WA05,43.7,53.5,46.3,51.2,42,58,45%,55%,6.51,,,,,,,
WA,6,WA06,56.1,41.2,57,40.9,54,46,56%,44%,4.87,,,,,,,
WA,7,WA07,79.2,18.1,80.4,18.1,77,23,79%,21%,28.08,,,,,,,
WA,8,WA08,49.7,48.1,51.5,46.8,47,53,50%,50%,1.54,,,,,,,
WA,9,WA09,68.3,29.6,68.6,30,64,36,67%,33%,15.55,,,,,,,
WA,10,WA10,56.3,41.1,57.2,41,53,47,56%,44%,4.39,,,,,,,
WI,1,WI01,47.4,51.6,50.7,47.9,46,54,49%,51%,2.52,,,,,,,
WI,2,WI02,68.3,30.5,70.1,28.5,63,37,67%,33%,15.8,,,,,,,
WI,3,WI03,54.8,43.8,59.2,39.1,53,47,57%,43%,5.37,,,,,,,
WI,4,WI04,75.3,23.8,74.1,24.7,69,31,72%,28%,20.77,,,,,,,
WI,5,WI05,37.7,61.3,41.7,57,37,63,40%,60%,11.61,,,,,,,
WI,6,WI06,45.8,53.1,49.3,49.1,43,57,47%,53%,4.69,,,,,,,
WI,7,WI07,47.8,50.9,53.1,45.1,48,52,51%,49%,0.21,,,,,,,
WI,8,WI08,47.2,51.6,53.5,45,44,56,49%,51%,2.1,,,,,,,
WV,1,WV01,35.5,62.2,41.5,56.7,42,58,42%,58%,9.09,,,,,,,
WV,2,WV02,38,60,43.9,54.7,42,58,43%,57%,7.96,,,,,,,
WV,3,WV03,32.8,65,42.3,55.7,46,54,45%,55%,6.62,,,,,,,
WY,1,WY01,28,69.2,32.4,64.4,30,70,32%,68%,19.51,,,,,,,
