GEO.id,GEO.id2,GEO.display-label,,,,,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC13,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC20,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC24,HC01_EST_VC29,HC01_EST_VC30,HC01_EST_VC33,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC41,HC01_EST_VC42,HC01_EST_VC43,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49,HC01_EST_VC50,HC01_EST_VC51,HC01_EST_VC64,HC01_EST_VC67,HC01_EST_VC68,HC01_EST_VC69,HC01_EST_VC70
Id,Id2,Geography,borough,County,State,Congressional District,TotalPop,Pop1to4,Pop5to17,Pop18to24,Pop25to35,Pop35to45,Pop45to55,Pop55to65,Pop65to75,Pop75Over,MedianAge,Male,Female,RaceBase,White,Black,Asian,Hispanic,WhiteNoHispanic,Native,ForeignBorn,Naturalized,ForeignBornNotCitizen,MaritalBase,NeverMarried,Married,Divorced,Widowed,EducationBase,LessThanHS,HSGrad,SomeCollORAssoc,Bachelors,GradProf,MedianIncome,PovertyBase,PovertyBelow100Prct,Poverty100to149,Poverty150UP
0600000US4200132144,4200132144,"Hamilton township, Adams County, Pennsylvania",Hamilton township, Adams County, Pennsylvania,13,2491,49,419,135,175,328,416,500,247,222,48.9,1217,1274,2486,2403,0,0,119,2367,2440,51,37,14,2174,459,1456,136,123,1888,231,768,530,149,210,33043,2482,113,165,2204
0600000US4200132200,4200132200,"Hamiltonban township, Adams County, Pennsylvania",Hamiltonban township, Adams County, Pennsylvania,13,2127,80,268,116,232,233,377,349,299,173,48.7,1088,1039,2041,1971,19,19,45,1958,2074,53,30,23,1856,459,1082,202,113,1663,258,761,328,214,102,24178,2127,207,186,1734
0600000US4200134424,4200134424,"Highland township, Adams County, Pennsylvania",Highland township, Adams County, Pennsylvania,13,1013,56,145,63,74,124,180,173,144,54,47.8,461,552,986,963,21,0,26,937,1001,12,10,2,841,148,552,101,40,749,52,240,182,152,123,34625,1001,52,52,897
0600000US4200136424,4200136424,"Huntington township, Adams County, Pennsylvania",Huntington township, Adams County, Pennsylvania,13,2289,96,391,167,141,358,342,390,254,150,44.8,1131,1158,2256,2179,12,25,108,2123,2196,93,68,25,1937,487,1135,213,102,1635,198,855,328,148,106,26265,2285,249,130,1906
0600000US4200141672,4200141672,"Latimore township, Adams County, Pennsylvania",Latimore township, Adams County, Pennsylvania,13,2565,87,381,248,215,364,442,425,263,140,44.7,1263,1302,2545,2428,19,0,98,2428,2511,54,17,37,2197,495,1398,214,90,1849,165,736,543,248,157,32487,2565,140,93,2332
0600000US4200143056,4200143056,"Liberty township, Adams County, Pennsylvania",Liberty township, Adams County, Pennsylvania,13,1311,77,170,111,110,119,228,242,161,93,48.3,633,678,1289,1263,12,0,5,1263,1295,16,16,0,1118,243,674,124,77,953,104,360,265,138,86,31188,1304,51,100,1153
0600000US4200143944,4200143944,"Littlestown borough, Adams County, Pennsylvania",Littlestown borough, Adams County, Pennsylvania,13,4417,130,828,478,624,497,729,441,352,338,38.2,2002,2415,4287,4239,37,0,30,4220,4358,59,50,9,3616,1033,1838,487,258,2981,335,1134,939,394,179,28861,4367,388,326,3653
0600000US4200146376,4200146376,"McSherrystown borough, Adams County, Pennsylvania",McSherrystown borough, Adams County, Pennsylvania,13,3007,183,546,311,432,450,349,145,321,270,35.4,1289,1718,2930,2856,0,1,73,2856,2975,32,20,12,2380,770,1007,365,238,1967,277,983,520,79,108,24051,2878,184,302,2392
0600000US4200148608,4200148608,"Menallen township, Adams County, Pennsylvania",Menallen township, Adams County, Pennsylvania,13,3463,176,593,263,464,490,467,499,306,205,40.3,1937,1526,3452,3287,43,57,185,3167,3259,204,94,110,2849,699,1822,193,135,2431,314,1216,473,268,160,29689,3428,243,219,2966
0600000US4200151640,4200151640,"Mount Joy township, Adams County, Pennsylvania",Mount Joy township, Adams County, Pennsylvania,13,3671,123,607,150,322,244,612,688,584,341,50.1,1925,1746,3587,3415,73,7,108,3385,3612,59,45,14,3118,635,1946,269,268,2791,248,782,725,588,448,33149,3577,57,177,3343
0600000US4200151776,4200151776,"Mount Pleasant township, Adams County, Pennsylvania",Mount Pleasant township, Adams County, Pennsylvania,13,4654,178,947,296,436,582,789,701,484,241,42.8,2222,2432,4593,4123,73,11,525,3984,4461,193,11,182,3796,906,2213,430,247,3233,387,1569,786,259,232,31680,4640,628,415,3597
0600000US4200153920,4200153920,"New Oxford borough, Adams County, Pennsylvania",New Oxford borough, Adams County, Pennsylvania,13,2234,157,499,148,307,346,209,235,202,131,35.3,1123,1111,2066,1607,68,27,621,1495,2024,210,39,171,1691,593,763,217,118,1430,172,707,319,141,91,23063,2217,454,406,1357
0600000US4200157472,4200157472,"Oxford township, Adams County, Pennsylvania",Oxford township, Adams County, Pennsylvania,13,5492,342,842,381,575,388,763,706,527,968,48.2,2553,2939,5383,5248,135,0,46,5202,5423,69,69,0,4499,943,2524,447,585,3927,511,2045,731,388,252,26724,5205,471,469,4265
0600000US4200163616,4200163616,"Reading township, Adams County, Pennsylvania",Reading township, Adams County, Pennsylvania,13,5777,281,920,461,631,755,1070,822,473,364,42.5,2967,2810,5777,5699,0,25,380,5350,5521,256,95,161,4819,1296,2644,606,273,4115,357,1920,927,564,347,31394,5742,196,411,5135
0600000US4200174680,4200174680,"Straban township, Adams County, Pennsylvania",Straban township, Adams County, Pennsylvania,13,4871,236,648,350,572,568,768,638,453,638,45.7,2484,2387,4710,4446,60,82,357,4336,4674,197,75,122,4137,987,2264,548,338,3637,631,1451,758,512,285,26569,4369,449,195,3725
0600000US4200178160,4200178160,"Tyrone township, Adams County, Pennsylvania",Tyrone township, Adams County, Pennsylvania,13,2208,99,333,166,353,250,338,370,168,131,43.1,1125,1083,2184,2094,13,7,338,1831,2006,202,57,145,1858,514,1052,188,104,1610,311,709,429,97,64,24649,2200,361,129,1710
0600000US4200178264,4200178264,"Union township, Adams County, Pennsylvania",Union township, Adams County, Pennsylvania,13,3134,141,455,340,243,277,552,541,369,216,47.4,1577,1557,3110,3110,0,0,49,3061,3082,52,22,30,2661,603,1793,177,88,2198,238,949,540,266,205,29451,3128,109,134,2885
0600000US4200187136,4200187136,"York Springs borough, Adams County, Pennsylvania",York Springs borough, Adams County, Pennsylvania,13,756,22,203,49,170,114,80,71,32,15,31.4,398,358,728,390,0,0,447,296,469,287,29,258,559,245,253,48,13,482,223,131,86,34,8,25052,753,232,117,404
0600000US4200300724,4200300724,"Aleppo township, Allegheny County, Pennsylvania",Aleppo township, Allegheny County, Pennsylvania,17,1790,71,149,25,85,146,149,243,150,772,66.8,752,1038,1790,1742,38,9,1,1742,1740,50,46,4,1597,212,731,177,477,1545,47,446,363,465,224,40052,1625,64,89,1472
0600000US4200303320,4200303320,"Aspinwall borough, Allegheny County, Pennsylvania",Aspinwall borough, Allegheny County, Pennsylvania,17,2750,173,414,131,468,488,372,304,225,175,38,1259,1491,2717,2526,0,191,40,2492,2498,252,76,176,2203,660,1098,314,131,2032,85,305,343,616,683,42398,2750,130,219,2401
0600000US4200303608,4200303608,"Avalon borough, Allegheny County, Pennsylvania",Avalon borough, Allegheny County, Pennsylvania,17,4547,278,400,156,917,521,473,837,415,550,45,1971,2576,4397,3816,484,45,40,3803,4457,90,14,76,3997,1334,1603,678,382,3713,203,1317,1180,724,289,29641,4477,434,528,3515
0600000US4200303928,4200303928,"Baldwin borough, Allegheny County, Pennsylvania",Baldwin borough, Allegheny County, Pennsylvania,18,19488,706,2893,1396,2864,2215,2616,2832,1848,2118,43.2,9368,10120,19356,17552,1282,468,265,17328,18515,973,522,451,16781,5223,8307,1671,1580,14493,927,5386,4358,2692,1130,30620,19468,1244,1386,16838
0600000US4200303932,4200303932,"Baldwin township, Allegheny County, Pennsylvania",Baldwin township, Allegheny County, Pennsylvania,18,1968,108,249,117,277,206,351,290,235,135,46.1,1006,962,1934,1877,0,53,0,1877,1889,79,67,12,1701,505,870,200,126,1494,80,480,472,355,107,31519,1956,180,39,1737
