"State","Congressional.District.Number","CD_Name","Under35","Over65","MedianAge","Male","WhiteNoHispanic","Black","Hispanic","ForeignBorn","NeverMarried","Married","LessThanHS","HSGrad","SomeCollORAssoc","Bachelors","GradProf","BachGrad","MedianIncome","Poverty","MedianEarnings_HS","MedianEarnings_Bach","MedianEarnings_HSBach_Diff","Urbanicity","LFPR","Religiosity","Evangelical","RomanCatholic","AvgGOPPres","Veteran","cluster"
"AZ",3,"AZ03",37.9717007659689,14.5305394025967,31.7,50.0257923605223,28.6511115235474,4.8337212910136,63.7432650499481,21.4833899942104,38.0989909509267,43.6823606400495,24.7640303478393,27.6495626096931,31.920049013511,10.3269256459511,5.33943238300558,15.6663580289567,21247,23.4646081828717,26440,40447,14007,87.66159283,71.2,39.116,10.78,19.518,34.7,7.25029308654474,"2"
"AZ",4,"AZ04",21.8302874802406,32.1561187290347,47.4,50.6623367393242,77.1727628346095,1.84882288386096,18.7538280626954,8.50691312263207,23.1472824428472,53.8227922891629,13.2758204409115,30.3311479672381,37.7605259736642,11.846851029846,6.78565458834017,18.6325056181862,23581,15.4415319942889,26071,40611,14540,70.86447483,65.3,26.094,8.331,10.81,67.45,14.6037987428229,"5"
"AZ",5,"AZ05",26.8113043524637,21.6819641996839,38.3,48.988759880769,73.9397988750639,3.06323504346344,18.1496505880348,9.96045045188138,26.5954754286308,55.560006637513,7.16915698941778,22.0530300027744,36.0376124608616,22.4002219491895,12.3399785977567,34.7402005469462,32437,9.28544622681433,31497,56031,24534,99.76631278,78.3,39.073,14.001,13.64,60.7,9.8225706879589,"1"
"AZ",6,"AZ06",26.4714111708125,21.5265246900859,42.1,49.2090649655867,74.9793237520728,2.76447302836961,16.7207677895123,13.6452576800403,29.8617074452405,49.7401407277341,7.71105916977262,18.5353781209705,30.9025777850446,26.7122371398737,16.1387477843386,42.8509849242123,34440,12.1525562991232,28599,56675,28076,96.54188618,78.4,39.073,14.001,13.64,55.95,8.33326349418128,"4"
"AZ",7,"AZ07",40.4418341975196,10.2184344582916,29.7,50.2580341704814,21.4649103226522,10.0434247338848,66.0147707089146,26.7538042650167,45.6364498515522,35.9025942085912,32.3536942209217,27.6792245793709,25.9402432333577,9.23692392099488,4.78991404535479,14.0268379663497,20970,33.1507040720772,24662,41549,16887,99.91673275,69.3,39.073,14.001,13.64,24.55,4.87008307097068,"2"
"AZ",8,"AZ08",24.8897658474553,26.5284189865369,41.6,47.9444476443963,72.2205141841025,4.64286307812474,19.8386319445599,9.39977683684308,25.6209723652719,53.8915801387404,7.95141737656901,25.538081691804,38.1648864795234,18.4418058995376,9.903808552566,28.3456144521036,30997,9.51658362718106,31571,52370,20799,97.77861386,75,39.073,14.001,13.64,59.9,12.2062788822514,"1"
"AZ",9,"AZ09",39.5322887230027,13.7303460313923,33.6,50.4650929046697,59.3699070530649,5.57988319942673,28.4783999799245,14.3851138107331,43.0564926700607,38.0995425446398,11.0338286436927,19.8393686616892,32.3923652488306,22.9466102450611,13.7878272007263,36.7344374457874,29111,17.8983289703852,28613,48572,19959,99.99969631,79.5,39.073,14.001,13.64,42.5,7.00387527493505,"2"
"AR",1,"AR01",27.5548682009575,22.4764953567515,40.1,49.4292436693174,77.8282002355679,18.2086324700106,3.24495510996248,1.89972841074907,26.1214320792459,49.2172434031646,17.1194618144228,38.2804026624395,28.9075329294771,10.3223456491172,5.37025694454336,15.6926025936605,20890,20.4892128679186,25813,42082,16269,43.17436975,67.5,54.364,42.309,1.596,63,9.62946106876019,"3"
"AR",2,"AR02",31.6860465116279,18.7255439307321,37.1,48.4715179135445,70.6910227696902,22.6656676108293,5.04564367740377,3.98734457336218,30.6798584006535,47.6206193733651,10.9148774216491,30.8660498624477,29.8161774254451,17.9419303667861,10.460964923672,28.402895290458,25878,16.185488815341,27276,46003,18727,71.00401309,73.6,52.951,35.199,4.705,53.55,9.83366852912369,"3"
"AR",3,"AR03",32.9761723770956,18.149385650906,35.7,49.3990267831586,78.7254951061275,2.98857171475715,13.9866888834445,9.48334948358583,27.2648689433455,53.4225633959912,15.0667029676014,31.1627391071987,28.1826340361598,16.3225136380595,9.26541025098063,25.5879238890401,24598,16.9963159091123,26193,48300,22107,66.08989312,73,54.697,37.071,7.895,63.7,8.82026988476733,"3"
"AR",4,"AR04",26.5902236674494,23.0956692784792,41.2,48.957015006328,73.2527991841249,19.9673937243692,5.61761600723946,3.30523413487615,25.925670705341,50.2107771103121,16.212610906396,38.4435020688803,29.2288531609609,10.7227700352018,5.39226382856084,16.1150338637627,20765,21.2150043346179,25661,41124,15463,40.13620925,68.8,59.443,41.341,2.63,63,9.654980876643,"3"
"CA",1,"CA01",27.5586786026636,24.5428010722488,43,50.2545065583831,81.4172212515525,1.5058746402591,13.6736123850107,6.34488434648451,29.5237755114188,48.0013468906723,11.0004897359507,24.7314614536995,41.0302820062849,15.2524180712566,7.98534873280823,23.2377668040648,23105,18.1699336728651,27420,44478,17058,60.06046565,66.7,30.315,12.589,10.98,56.4,10.5245271604719,"5"
"CA",2,"CA02",24.2348067268195,22.9117368254748,44,49.674730593155,75.401027379439,1.58329430480906,17.9834519057071,13.5717368692908,30.9212495417966,48.2367995372566,9.64671468906669,18.6292107588947,31.7579405116654,24.0153061623533,15.95082787802,39.9661340403732,30796,12.9209413905299,28225,52931,24706,72.6970957,74.6,34.214,5.198,20.669,25.15,7.79535050587298,"1"
"CA",3,"CA03",34.4945709907418,17.1503486628366,35.2,50.0302147767044,51.9176199739439,6.38329198864955,30.7608909035747,18.8068800165622,33.9037715988461,47.9728153124735,16.4197994221823,23.4679538094947,35.6261292321658,15.1829901631331,9.30312737302412,24.4861175361573,26239,16.5377565744147,29652,52958,23306,85.25191757,70.3,35.924,9.995,18.605,41.75,9.29190148772287,"2"
"CA",4,"CA04",22.8568954518063,24.3950497726522,44.5,49.7534401174616,80.2651229252922,1.38321181255267,13.3607884805628,9.20237562166358,25.6599920260952,55.0749530229342,7.36623794588979,21.7169271148641,38.7170794389786,21.3066284424273,10.8931270578402,32.1997555002675,31810,9.97443770082114,31092,61746,30654,57.44874415,73.2,38.399,13.059,18.922,55.95,10.3406453120767,"1"
"CA",5,"CA05",28.967975638467,19.9711047871252,40.3,48.6953287587654,53.7989863068726,6.76253234248178,29.1088243286351,21.0239287236621,33.111862708255,46.5950144056119,13.3990130160251,20.7205022766616,35.49763588917,20.3577866596177,10.0250621585256,30.3828488181433,30798,12.0064717138303,31080,53935,22855,90.0105463,77.5,38.981,7.897,23.639,25.9,7.42333307655137,"1"
"CA",6,"CA06",36.5344611267917,15.3108462614987,34,48.6036910284476,40.6378102421196,13.3757631515399,29.7386506902994,23.2872196174341,39.4136314771017,40.7754031391099,16.5028613297288,23.4709045507565,33.1842662657857,17.6476037679438,9.19436408578515,26.841967853729,25394,22.4923524578845,27096,50673,23577,99.90124208,73.4,37.021,10.767,16.566,26.35,6.51185555797259,"2"
"CA",7,"CA07",28.889227733429,18.4518790922953,38.6,49.0287795127113,58.6098625458082,8.06461177196124,18.0186256952763,18.5785548217046,30.7434856993201,49.3733142408174,9.95459329545409,20.7784064101685,36.7149096100104,21.6000419386969,10.95204874567,32.5520906843669,31769,13.0037302452545,29105,59650,30545,97.4678178,75.7,37.073,11.11,16.192,43.85,8.58275619973461,"4"
"CA",8,"CA08",32.7026009020581,17.4493195932046,34.4,49.8356219829239,48.7059404228655,8.57731032454568,40.5990225649468,13.3506367790683,33.3420949591044,46.9968168107199,17.6206836575884,29.0101579600052,37.3423054074139,9.8137142624806,6.21313871251189,16.0268529749925,23142,21.8234622211708,30502,51678,21176,80.13042212,66.6,41.2,11.677,23.378,55.15,9.35730640208729,"2"
